bibtex_key,title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,created_at,updated_at,created_by,updated_by,status,comments
,Vision-Aided Multi-UAV Autonomous Flocking in GPS-Denied Environment,Y. Tang and Y. Hu and J. Cui and F. Liao and M. Lao and F. Lin and R. S. H. Teo,IEEE Transactions on Industrial Electronics,2019,IEEE INSPEC Non-Controlled Terms,616--626,66,"This paper presents a sophisticated vision-aided flocking system for unmanned aerial vehicles (UAVs), which is able to operate in GPS-denied unknown environments for exploring and searching missions, and also able to adopt two types of vision sensors, day and thermal cameras, to measure relative motion between UAVs in different lighting conditions without using wireless communication. In order to realize robust vision-aided flocking, an integrated framework of tracking-learning-detection on the basis of multifeature coded correlation filter has been developed. To achieve long-term tracking, a redetector is trained online to adaptively reinitialize target for global sensing. An advanced flocking strategy is developed to address the autonomous multi-UAVs' cooperative flight. Light detection and ranging (LiDAR)-based navigation modules are developed for autonomous localization, mapping, and obstacle avoidance. Flight experiments of a team of UAVs have been conducted to verify the performance of this flocking system in a GPS-denied environment. The extensive experiments validate the robustness of the proposed vision algorithms in challenging scenarios.",,10.1109/TIE.2018.2824766,,,,Target tracking;Sensors;Cameras;Correlation;Trajectory;Robustness;Visualization;Flocking;unmanned system;visual sensing,,1557-9948,,,,44698.62201,44698.62201,sousarbarb,,Duplicated,
,Persistent localization and life-long mapping in changing environments using the Frequency Map Enhancement,T. Krajník and J. P. Fentanes and M. Hanheide and T. Duckett,,2016,IEEE INSPEC Non-Controlled Terms,4558--4563,,"We present a lifelong mapping and localisation system for long-term autonomous operation of mobile robots in changing environments. The core of the system is a spatio-temporal occupancy grid that explicitly represents the persistence and periodicity of the individual cells and can predict the probability of their occupancy in the future. During navigation, our robot builds temporally local maps and integrates then into the global spatio-temporal grid. Through re-observation of the same locations, the spatio-temporal grid learns the long-term environment dynamics and gains the ability to predict the future environment states. This predictive ability allows to generate time-specific 2d maps used by the robot's localisation and planning modules. By analysing data from a long-term deployment of the robot in a human-populated environment, we show that the proposed representation improves localisation accuracy and the efficiency of path planning. We also show how to integrate the method into the ROS navigation stack for use by other roboticists.",,10.1109/IROS.2016.7759671,,,,Navigation;Two dimensional displays;Robot sensing systems;Planning;Predictive models;Robot kinematics;mobile robotics;long-term autonomy,,2153-0866,,,,44698.62201,44698.62201,sousarbarb,,Duplicated,
,Long-term human affordance maps,R. Limosani and L. Y. Morales and J. Even and F. Ferreri and A. Watanabe and F. Cavallo and P. Dario and N. Hagita,,2015,IEEE INSPEC Non-Controlled Terms,5748--5754,,"This paper presents a work on mapping the use of space by humans in long periods of time. Daily geometric maps with the same coordinate frame were generated with SLAM, and in a similar manner, daily affordance density maps (places people use) were generated with the output of a human tracker running on the robot. The contribution of the paper is two-fold: an approach to detect geometric changes to cluster them in similar geometric configurations and the building of geometric and affordance composite maps on each cluster. This approach avoids the loss of long term retrieved information. Geometric similarity was computed using a normal distance approach on the maps. The analysis was performed on data collected by a mobile robot for a period of 4 months accumulating data equivalent to 70 days. Experimental results show that the system is capable of detecting geometric changes in the environment and clustering similar geometric configurations.",,10.1109/IROS.2015.7354193,,,,Robot kinematics;Buildings;Navigation;Robot sensing systems;Layout;Geometry,,,,,,44698.62201,44698.62201,sousarbarb,,Duplicated,
,Research of large-scale offline map management in visual SLAM,Q. Shen and H. Sun and P. Ye,,2017,IEEE INSPEC Non-Controlled Terms,215--219,,"This paper presents a novel method of visual simultaneous localization and mapping (SLAM), which is a method of real-time localization and mapping. It is important for a mobile robot to build a map while autonomously navigation. Due to the complexity of the robot work scene, the SLAM method proposed in this paper optimizes map management. It will cost a lot of time and space when a robot long-term works in a same large scene. Therefore, we propose a method in this paper to save a detail map as an offline map in advance. At the same time in order to facilitate the follow-up optimization, the offline map can be divided into several sub-graphs according to the similarity of the scene. Since the segmented offline map has been saved to local system, it can be loaded at any time to localization and obtain the pose of current frame.",,10.1109/ICSAI.2017.8248292,,,,Simultaneous localization and mapping;Image segmentation;Cameras;Real-time systems;Optimization;Symmetric matrices;SLAM;offline map;segment graph;normalized-cut,,,,,,44698.62201,44698.62201,sousarbarb,,Duplicated,
,Long-term Place Recognition through Worst-case Graph Matching to Integrate Landmark Appearances and Spatial Relationships,P. Gao and H. Zhang,,2020,IEEE INSPEC Non-Controlled Terms,1070--1076,,"Place recognition is an important component for simultaneously localization and mapping in a variety of robotics applications. Recently, several approaches using landmark information to represent a place showed promising performance to address long-term environment changes. However, previous approaches do not explicitly consider changes of the landmarks, i,e., old landmarks may disappear and new ones often appear over time. In addition, representations used in these approaches to represent landmarks are limited, based upon visual or spatial cues only. In this paper, we introduce a novel worst-case graph matching approach that integrates spatial relationships of landmarks with their appearances for long-term place recognition. Our method designs a graph representation to encode distance and angular spatial relationships as well as visual appearances of landmarks in order to represent a place. Then, we formulate place recognition as a graph matching problem under the worst-case scenario. Our approach matches places by computing the similarities of distance and angular spatial relationships of the landmarks that have the least similar appearances (i.e., worst-case). If the worst appearance similarity of landmarks is small, two places are identified to be not the same, even though their graph representations have high spatial relationship similarities. We evaluate our approach over two public benchmark datasets for long-term place recognition, including St. Lucia and CMU-VL. The experimental results have validated that our approach obtains the state-of-the-art place recognition performance, with a changing number of landmarks.",,10.1109/ICRA40945.2020.9196906,,,,Visualization;Simultaneous localization and mapping;Robustness;Strain;Image recognition;Tensile stress,,2577-087X,,,,44698.62201,44698.62201,sousarbarb,,Duplicated,
,"PoseMap: Lifelong, Multi-Environment 3D LiDAR Localization",P. Egger and P. V. K. Borges and G. Catt and A. Pfrunder and R. Siegwart and R. Dubé,,2018,IEEE INSPEC Non-Controlled Terms,3430--3437,,"Reliable long-term localization is key for robotic systems in dynamic environments. In this paper, we propose a novel approach for long-term localization using 3D LiDARs, coined PoseMap. In essence, we extract distinctive features from range measurements and bundle these into local views along with observation poses. The sensor's trajectory is then estimated in a sliding window fashion by matching current and old features and minimizing the distances in-between. The map representation facilitates finding a suitable set of old features, by selecting the closest local map(s) for matching. Similarly to a visibility analysis, this procedure provides a suitable set of features for localization but at a fraction of the computational cost. PoseMap also allows for updates and extensions of the map at any time by replacing and adding local maps when necessary. We evaluate our approach using two platforms both equipped with a 3D LiDAR and an IMU, demonstrating localization at 8 Hz and robustness to changes in the environment such as moving vehicles and changing vegetation. PoseMap was implemented on an autonomous vehicle allowing it to drive autonomously over a period of 18 months through a mix of industrial and unstructured off-road environments, covering more than 100 kms without a single localization failure.",,10.1109/IROS.2018.8593854,,,,Simultaneous localization and mapping;Three-dimensional displays;Laser radar;Optimization;Feature extraction,,2153-0866,,,,44698.62201,44698.62201,sousarbarb,,Duplicated,
,"Sensors, SLAM and Long-term Autonomy: A Review",M. Zaffar and S. Ehsan and R. Stolkin and K. M. Maier,,2018,IEEE INSPEC Non-Controlled Terms,285--290,,"Simultaneous Localization and Mapping, commonly known as SLAM, has been an active research area in the field of Robotics over the past three decades. For solving the SLAM problem, every robot is equipped with either a single sensor or a combination of similar/different sensors. This paper attempts to review, discuss, evaluate and compare these sensors. Keeping an eye on future, this paper also assesses the characteristics of these sensors against factors critical to the long-term autonomy challenge.",,10.1109/AHS.2018.8541483,,,,Cameras;Simultaneous localization and mapping;Sensor phenomena and characterization;Laser radar;Acoustic sensors;SLAM;Long-term Autonomy;Sensors,,2471-769X,,,,44698.62201,44698.62201,sousarbarb,,Duplicated,
,Robust SLAM Systems: Are We There Yet?,M. Bujanca and X. Shi and M. Spear and P. Zhao and B. Lennox and M. Luján,,2021,IEEE INSPEC Non-Controlled Terms,5320--5327,,"Progress in the last decade has brought about significant improvements in the accuracy and speed of SLAM systems, broadening their mapping capabilities. Despite these advancements, long-term operation remains a major challenge, primarily due to the wide spectrum of perturbations robotic systems may encounter.Increasing the robustness of SLAM algorithms is an ongoing effort, however it usually addresses a specific perturbation. Generalisation of robustness across a large variety of challenging scenarios is not well-studied nor understood. This paper presents a systematic evaluation of the robustness of open-source state-of-the-art SLAM algorithms with respect to challenging conditions such as fast motion, non-uniform illumination, and dynamic scenes. The experiments are performed with perturbations present both independently of each other, as well as in combination in long-term deployment settings in unconstrained environments (lifelong operation).The detailed results (approx. 20,000 experiments) along with comprehensive documentation of the benchmarking tool for integrating new datasets and evaluating SLAM algorithms not studied in this work are available at https://robustslam.github.io/evaluation.",,10.1109/IROS51168.2021.9636814,,,,Simultaneous localization and mapping;Systematics;Three-dimensional displays;Heuristic algorithms;Perturbation methods;Dynamics;Lighting,,2153-0866,,,,44698.62201,44698.62201,sousarbarb,,Duplicated,
,High level assisted control mode based on SLAM for a remotely controlled robot,J.-C. Devaux and P. Nadrag and E. Colle and P. Hoppenot,,2011,IEEE INSPEC Non-Controlled Terms,186--191,,"One aim of ambient assistive technologies is to reduce long term hospitalization for elderly people, especially with pathologies such as Mild Cognitive Impairment (MCI). The smart environment assists these people and their families with safety and cognitive stimulation, so they stay as long as possible at home. The originality comes from using the robot in the elderly person's home. This robot is remote controlled by a distant user, a therapist or a relative, for determining alarming situations or for participating in stimulation exercises. Several modes are available for controlling the robot. This paper deals with an assisted control mode in which the remote user gives to the robot one goal and the robot reaches the goal by itself. During the robot movement, the user can dynamically change the current goal. An important hypothesis is that the robot has no a priori knowledge of its environment at the beginning. The knowledge will increase with time and the planned trajectory will be refreshed at two levels: a local one - faster but not always sufficient - and a global one - slower but which always finds a path if one exists. The idea is to work only with local information, using the robot sensors, the operator keeping the high level control. To assure that control, the remote operator uses video feedback and information from a laser range scanner.",,10.1109/ICAR.2011.6088615,,,,Trajectory;Planning;Simultaneous localization and mapping;Navigation,,,,,,44698.62201,44698.62201,sousarbarb,,Duplicated,
,SemanticFusion: Dense 3D semantic mapping with convolutional neural networks,J. McCormac and A. Handa and A. Davison and S. Leutenegger,,2017,IEEE INSPEC Non-Controlled Terms,4628--4635,,"Ever more robust, accurate and detailed mapping using visual sensing has proven to be an enabling factor for mobile robots across a wide variety of applications. For the next level of robot intelligence and intuitive user interaction, maps need to extend beyond geometry and appearance - they need to contain semantics. We address this challenge by combining Convolutional Neural Networks (CNNs) and a state-of-the-art dense Simultaneous Localization and Mapping (SLAM) system, ElasticFusion, which provides long-term dense correspondences between frames of indoor RGB-D video even during loopy scanning trajectories. These correspondences allow the CNN's semantic predictions from multiple view points to be probabilistically fused into a map. This not only produces a useful semantic 3D map, but we also show on the NYUv2 dataset that fusing multiple predictions leads to an improvement even in the 2D semantic labelling over baseline single frame predictions. We also show that for a smaller reconstruction dataset with larger variation in prediction viewpoint, the improvement over single frame segmentation increases. Our system is efficient enough to allow real-time interactive use at frame-rates of ?25Hz.",,10.1109/ICRA.2017.7989538,,,,Semantics;Simultaneous localization and mapping;Three-dimensional displays;Geometry;Two dimensional displays;Labeling;Cameras,,,,,,44698.62201,44698.62201,sousarbarb,,Duplicated,
