Title,Accession number,Author,Author affiliation,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Publication date,Language,ISSN,ISBN,ISBN13,DOI,Conference name,Conference date,Conference location,CODEN,Country of publication,Document type,Link to ProQuest Dissertations,Abstract,Number of references,Controlled/Subject terms,Uncontrolled terms,Classification code,IPC code,Treatment,Discipline,Database,Copyright,Data Provider
"Characterising an indoor environment with a mobile robot and uncalibrated stereo","3471189","Sarachik, K.B. (1) ","(1) MIT, Artificial Intelligence Lab., Cambridge, MA, United States ","Proceedings. 1989 IEEE International Conference on Robotics and Automation (Cat. No.89CH2750-8)","","IEEE","IEEE Comput. Soc. Press","","","984-9 vol.2","1989","English","","0-8186-1938-4","","10.1109/ROBOT.1989.100109","1989 IEEE International Conference on Robotics and Automation","14-19 May 1989","Scottsdale, AZ, USA","","","Conference article (CA)","","The author shows how it is possible for a mobile robot to exploit the visual information obtained by scanning a room to determine its size and shape, and to orient itself continually within it. The equipment used is a very simple camera setup whose detailed initial configuration is not known but can be deduced as the algorithm runs. The approach does not require any special environment, nor is it sensitive to changes in the physical aspect of the room being inspected such as moved furniture or roaming people. The long-term goal of the project is for the robot to use the information thus acquired in order to build maps of its environment, presumed to be a single floor of an office building, and to localize itself within this framework.","11","computer vision - computerised pattern recognition - computerised picture processing - mobile robots","computer vision - unstructured environment - map-building - indoor environment - mobile robot - uncalibrated stereo - room - camera setup","C5260B Computer vision and image processing techniques - C7420 Control engineering computing - C3390 Robotics","G05B15/00 - G06T","Practical (PRA)","Computers/Control engineering (C)","Inspec","Copyright 1989, IEE","Engineering Village"
"Laser Map Aided Visual Inertial Localization in Changing Environment","18372740","Xiaqing Ding (1); Yue Wang (1); Dongxuan Li (1); Li Tang (1); Huan Yin (1); Rong Xiong (1) ","(1) Zhejiang University, State Key Laboratory of Industrial Control and Technology, China ","2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","","","IEEE","","","4794-801","2018","English","","","978-1-5386-8094-0","10.1109/IROS.2018.8593846","2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","1-5 Oct. 2018","Madrid, Spain","","","Conference article (CA)","","Long-term visual localization in outdoor environment is a challenging problem, especially faced with the cross-seasonal, bi-directional tasks and changing environment. In this paper we propose a novel visual inertial localization framework that localizes against the LiDAR-built map. Based on the geometry information of the laser map, a hybrid bundle adjustment framework is proposed, which estimates the poses of the cameras with respect to the prior laser map as well as optimizes the state variables of the online visual inertial odometry system simultaneously. For more accurate crossmodal data association, the laser map is optimized using multisession laser and visual data to extract the salient and stable subset for visual localization. To validate the efficiency of the proposed method, we collect data in south part of our campus in different seasons, along the same and opposite-direction route. In all sessions of localization data, our proposed method gives satisfactory results, and shows the superiority of the hybrid bundle adjustment and map optimization1.","31","cameras - geometry - optical radar - optimisation - robot vision - SLAM (robots)","map optimization - changing environment - bi-directional tasks - LiDAR-built map - online visual inertial odometry system - laser map aided visual inertial localization - geometry information - crossmodal data association - multisession laser","B6135 Optical, image and video signal processing - B6320C Optical radar - B0250 Combinatorial mathematics - B0260 Optimisation techniques - C3390 Robotics - C1160 Combinatorial mathematics - C1180 Optimisation techniques - C5260B Computer vision and image processing techniques","G01S17/00 - G03B17/00 - G03B19/00 - G06T","Practical (PRA); Theoretical or Mathematical (THR)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2019, The Institution of Engineering and Technology","Engineering Village"
"Vehicle Navigation by Visual Navigational Aids for Automatic Lunar Mission","21550585","Ostroumov, I. (1); Kuzmenko, N. (1) ","(1) National Aviation University, Air Navigation Systems Department, Ukraine ","2021 IEEE 6th International Conference on Actual Problems of Unmanned Aerial Vehicles Development (APUAVD)","","","IEEE","","","71-5","2021","English","","","978-1-6654-3822-3","10.1109/APUAVD53804.2021.9615417","2021 IEEE 6th International Conference on Actual Problems of Unmanned Aerial Vehicles Development (APUAVD)","19-21 Oct. 2021","Kyiv, Ukraine","","","Conference article (CA)","","Nowadays the question of Moon exploration is one of the key priorities. Many Lunar robotics missions are planned in near future by different space agencies around the world. Moon has considered to be the best place for a research station with long-term human presence for finding answers on fundamental questions about the universe. Automatic navigation of starship during a landing phase on Lunar surface is already solved with a help of inertial reference system aided visual algorithms. However, questions of automatic navigation of moving and flying vehicles on the Lunar surface are still open. Inertial navigation is limited by time, self-localization and mapping algorithms require multiple unique features of relief to guarantee required accuracy for successful automatic mission complication. In the current study, we propose the deployment of a network of visual navigational aids on the Lunar surface to support ground automatic missions. A weak atmosphere of the Moon makes effective visual beacons navigation system for long areas. A network of navigational aids includes primary and secondary ground stations which are blinking synchronously. Synchronization is supported by radio waves from the primary ground station. We consider the nature of crater relief to increase operational area of the system. The Time Difference of Arrival method is used to detect vehicle position by blinking network of visual navigational aids. In the numerical application, we consider different scenarios of network configuration to support automatic vehicle navigation inside of Tycho crater. Also, deployment of visual navigational aids network will increase the number of optical features which improve performance of already used positioning methods.","0","aerospace robotics - inertial navigation - lunar surface - mobile robots - path planning - position control - robot vision - space vehicle navigation - synchronisation - time-of-arrival estimation","lunar surface - inertial reference system - visual algorithms - automatic navigation - inertial navigation - ground automatic missions - Moon exploration - automatic vehicle navigation - visual navigational aids network - long-term human presence - lunar robotics missions - automatic lunar mission - visual beacons navigation system - space agencies - starship - landing phase - flying vehicles - moving vehicles - self-localization and mapping - ground stations - synchronization - radio waves - time difference of arrival - vehicle position detection - network configuration - Tycho crater - optical features - positioning methods","B7690 Other topics in aerospace - B6135 Optical, image and video signal processing - C3360L Aerospace control - C3390C Mobile robots - C5260B Computer vision and image processing techniques - C3120C Spatial variables control","B64G1/00 - B64G3/00 - G01C21/24 - G01P7/00 - G01S - G05D1/00 - G05D3/00 - G06T - B60W30/095 - G01C21/16","Practical (PRA)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2022, The Institution of Engineering and Technology","Engineering Village"
"Voxgraph: Globally Consistent, Volumetric Mapping using Signed Distance Function Submaps [arXiv]","19744290","Reijgwart, V. (1); Millane, A. (1); Oleynikova, H. (1); Siegwart, R. (1); Cadena, C. (1); Nieto, J. (1) ","(1) ETH Zurich, Autonomous Systems Lab, Switzerland ","arXiv","arXiv (USA)","","arXiv","","","8 pp.","27 April 2020","English","","","","","","","","","USA","Journal article (JA)","","Globally consistent dense maps are a key requirement for long-term robot navigation in complex environments. While previous works have addressed the challenges of dense mapping and global consistency, most require more computational resources than may be available on-board small robots. We propose a framework that creates globally consistent volumetric maps on a CPU and is lightweight enough to run on computationally constrained platforms. Our approach represents the environment as a collection of overlapping Signed Distance Function (SDF) submaps, and maintains global consistency by computing an optimal alignment of the submap collection. By exploiting the underlying SDF representation, we generate correspondence free constraints between submap pairs that are computationally efficient enough to optimize the global problem each time a new submap is added. We deploy the proposed system on a hexacopter Micro Aerial Vehicle (MAV) with an Intel i7-8650U CPU in two realistic scenarios: mapping a large-scale area using a 3D LiDAR, and mapping an industrial space using an RGB-D camera. In the large-scale outdoor experiments, the system optimizes a 120x80m map in less than 4s and produces absolute trajectory RMSEs of less than 1m over 400m trajectories. Our complete system, called voxgraph, is available as open source. [IEEE Robotics and Automation Letters 5.1 (2019): 227-234 doi:10.1109/LRA.2019.2953859].","36","autonomous aerial vehicles - cameras - graph theory - microprocessor chips - microrobots - mobile robots - optical radar - path planning - robot vision - SLAM (robots)","voxgraph - absolute trajectory RMSE - large-scale outdoor experiments - RGB-D camera - industrial space - 3D LiDAR - large-scale area - Intel i7-8650U CPU - hexacopter micro aerial vehicle - SDF representation - signed distance function submaps - submap pairs - submap collection - computationally constrained platforms - globally consistent volumetric maps - computational resources - global consistency - dense mapping - long-term robot navigation - globally consistent dense maps - volumetric mapping","B6320C Optical radar - B0260 Optimisation techniques - B6135 Optical, image and video signal processing - C5260B Computer vision and image processing techniques - C1180 Optimisation techniques - C3120C Spatial variables control - C3360L Aerospace control - C3390C Mobile robots","B81B - G01S17/00 - G03B17/00 - G03B19/00 - G05D1/00 - G05D3/00 - G06T - B60W30/095","Practical (PRA); Theoretical or Mathematical (THR)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2020, The Institution of Engineering and Technology","Engineering Village"
"Checkout my map: version control for fleetwide visual localisation","16503977","Gadd, M. (1); Newman, P. (1) ","(1) University of Oxford, Mobile Robotics Group, United Kingdom ","2016 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","","","IEEE","","","5729-36","2016","English","","","978-1-5090-3762-9","10.1109/IROS.2016.7759843","2016 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","9-14 Oct. 2016","Daejeon, South Korea","","","Conference article (CA)","","This paper is about underpinning long-term operations of fleets of vehicles using visual localisation. In particular it examines ways in which vehicles, considered as independent agents, can share, update and leverage each others' visual experiences in a mutually beneficial way. We draw on our previous work in Experience-based Navigation (EBN) [1], in which a visual map supporting multiple representations of the same place is built, yielding real-time localisation capability for a solitary vehicle. We now consider how any number of such agents might operate in concert via data sharing policies that are germane to the shared task of lifelong localisation. We rapidly construct considerable maps by the conjoining of work distributed to asynchronous processes, and share expertise amongst the team by the selective dispensing of mission-specific map contents. We demonstrate and evaluate our system against 100km of data collected in North Oxford over a period of a month featuring diverse deviation in appearance due to atmospheric, lighting, and structural dynamics. We show that our framework is capable of creating maps in a fraction of the time required by single-agent EBN, with no significant loss in localisation robustness, and is able to furnish robots on real-world forays with maps which require much less storage.","23","configuration management - mobile robots - navigation - robot dynamics - robot vision - SLAM (robots) - vehicle dynamics","robots - autonomous vehicle fleets - structural dynamics - visual map supporting - EBN - experience-based navigation - visual localisation - version control","B6135 Optical, image and video signal processing - C3360 Transportation system control - C3390C Mobile robots - C5260B Computer vision and image processing techniques - C6110B Software engineering techniques - E2220 Vehicle mechanics - E2230 Robot and manipulator mechanics","G01C21/00 - G05D1/00 - G06F9/44 - G06T","Practical (PRA)","Electrical/Electronic engineering (B); Computers/Control engineering (C); Manufacturing and production engineering (E)","Inspec","Copyright 2016, The Institution of Engineering and Technology","Engineering Village"
"Active SLAM in structured environments","10014880","Leung, C. (1); Shoudong Huang (1); Dissanayake, G. (1) ","(1) Univ. of Technol., Fac. of Eng., Sydney, NSW, Australia ","2008 IEEE International Conference on Robotics and Automation. The Half-Day Workshop on: Towards Autonomous Agriculture of Tomorrow","","","IEEE","","","1898-903","2008","English","","","978-1-4244-1646-2","","2008 IEEE International Conference on Robotics and Automation. The Half-Day Workshop on: Towards Autonomous Agriculture of Tomorrow","19-23 May 2008","Pasadena, CA, USA","","","Conference article (CA)","","This paper considers the trajectory planning problem for line-feature based SLAM in structured indoor environments. The robot poses and line features are estimated using smooth and mapping (SAM) which is found to provide more consistent estimates than the extended Kalman filter (EKF) The objective of trajectory planning is to minimise the uncertainty of the estimates and to maximise coverage. Trajectory planning is performed using model predictive control (MPC) with an attractor incorporating long term goals. This planning is demonstrated both in simulation and in a real-time experiment with a Pioneer2DX robot.","13","Kalman filters - path planning - predictive control - SLAM (robots)","active SLAM - structured indoor environments - trajectory planning problem - extended Kalman filter - model predictive control - Pioneer2DX robot","C3390 Robotics - C5260B Computer vision and image processing techniques - C3120C Spatial variables control - C1330 Optimal control","G05D3/00 - G06T - B60W30/095","Practical (PRA); Theoretical or Mathematical (THR); Experimental (EXP)","Computers/Control engineering (C)","Inspec","Copyright 2008, The Institution of Engineering and Technology","Engineering Village"
"A hybrid topological mapping and navigation method for large area robot mapping","17357794","Ravankar, A.A. (1); Ravankar, A. (1); Emaru, T. (1); Kobayashi, Y. (1) ","(1) Hokkaido University, Laboratory of Robotics & Dynamics, Japan ","2017 56th Annual Conference of the Society of Instrument and Control Engineers of Japan (SICE). Proceedings","","","IEEE","","","1104-7","Sept. 2017","English","","","978-4-907764-56-2","10.23919/SICE.2017.8105770","2017 56th Annual Conference of the Society of Instrument and Control Engineers of Japan (SICE)","19-22 Sept. 2017","Kanazawa, Japan","","","Conference article (CA)","","In this paper, we present a hybrid topological mapping and navigation method for mobile robots. The proposed method combines metric and topological information to create map and generate navigation plan for the robot. As compared to traditional approaches of robot mapping, the method is lightweight and can be used for mapping and navigation in large areas which is particularly useful for service robots operating in large buildings. The method only uses local information for navigation while maintaining the global topological graph nodes. The topological nodes are used effectively for navigation and can also be used to store semantic information of the scene such as robot poses, scans and scene properties for complete long term robot autonomy. By combining the information from the two maps (topological and grid map), autonomous navigation and mapping in large areas for robots is possible.","16","graph theory - mobile robots - path planning - robot vision - service robots - SLAM (robots)","hybrid topological mapping - mobile robots - topological information - navigation plan - service robots - topological grid map - large area robot mapping - navigation method - topological graph nodes - long term robot autonomy - map creation","B6135 Optical, image and video signal processing - B0250 Combinatorial mathematics - C3390C Mobile robots - C5260B Computer vision and image processing techniques - C1160 Combinatorial mathematics - C3120C Spatial variables control","G05D1/00 - G05D3/00 - G06T - B60W30/095","Practical (PRA); Theoretical or Mathematical (THR)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2017, The Institution of Engineering and Technology","Engineering Village"
"Exploration and mapping technique suited for visual-features based localization of MAVs","16660801","Chudoba, J. (1); Kulich, M. (2); Saska, M. (1); Báa, T. (1); Preuil, L. (2) ","(1) Czech Technical University in Prague, Department of Cybernetics, Czech Republic (2) Czech Technical University in Prague, Czech Institute of Informatics, Robotics, and Cybernetics, Czech Republic ","Journal of Intelligent & Robotic Systems","J. Intell. Robot. Syst. (Germany)","","Springer","84","1-4","351-69","Dec. 2016","English","0921-0296","","","10.1007/s10846-016-0358-8","","","","","Germany","Journal article (JA)","","An approach for long term localization, stabilization, and navigation of micro-aerial vehicles (MAVs) in unknown environment is presented in this paper. The proposed method relies strictly on onboard sensors of employed MAVs and does not require any external positioning system. The core of the method consists in extraction of information from pictures consequently captured using a camera carried by the particular MAV. Visual features are obtained from images of the surface under the MAV, and stored into a map that is represented by these features. The position of the MAV is then obtained through matching with previously stored features. An important part of the proposed system is a novel approach for exploration and mapping of the workspace of robots. This method enables efficient exploring of the unknown environment, while keeping the iteratively built map of features consistent. The proposed algorithm is suitable for mapping of surfaces, both outdoor and indoor, with various density of the image features. The sufficient precision and long term persistence of the method allows its utilization for stabilization of large MAV groups that work in formations with small relative distances between particular vehicles. Numerous experiments with quadrotor helicopters and various numerical simulations have been realized for verification of the entire system and its components.","33","autonomous aerial vehicles - feature extraction - microrobots - SLAM (robots)","robot workspace - image features - microaerial vehicles - MAVs - visual-features based localization - mapping technique - exploration technique","B6135E Image recognition - C3360L Aerospace control - C3390C Mobile robots - C5260B Computer vision and image processing techniques","B81B - G05D1/00 - G06T","Practical (PRA)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2017, The Institution of Engineering and Technology","Engineering Village"
"Direct RGB-D Visual Odometry Based on Hybrid Strategy","21226521","Jiyuan Cai (1); Lingkun Luo (1); Qiuyu Yu (1); Bing Liu (2); Shiqiang Hu (1) ","(1) Shanghai Jiao Tong University, School of Aeronautics and Astronautics, China (2) China National Aeronautical Radio Electronics Research Institute, China ","IEEE Sensors Journal","IEEE Sens. J. (USA)","","IEEE","21","20","23278-23288","2021","English","1530-437X","","","10.1109/JSEN.2021.3109413","","","","ISJEAZ","USA","Journal article (JA)","","Edge-based Direct Visual Odometry (E-DVO) plays a crucial role in robot navigation across the low-texture and rich-texture scenes, however, two essential factors are overlooked in the traditional E-DVO methods. (1) Traditional E-DVO methods seriously rely on photometric or geometric cost, thereby generating the non-robust performance under the light changing or structure-less conditions; (2) EDVO methods generally suffer drift issue mainly derived from inaccurate rotation estimation for the long term visual odometry task. In this article, a novel hybrid cost function leveraging the photometric and geometric cost within a bi-direction framework is proposed to facilitate the addressed the former issue. While the latter issue is approached through hybridization of a simple yet effective switching strategy which can guarantee both robustness and accuracy by combining the global Manhattan model and direct edge alignment. We carry out various experiments on TUM RGB-D and ICL-NUIM datasets for performance evaluation. Results show that our method has the advantage of strong robustness and high accuracy compared with state-of-the-art methods, e.g., Canny-VO and ORB-SLAM2.","33","C++ language - cameras - distance measurement - edge detection - image colour analysis - image sequences - image texture - mobile robots - public domain software - robot vision - SLAM (robots)","hybrid strategy - robot navigation - low-texture - rich-texture scenes - photometric cost - geometric cost - nonrobust performance - drift issue - rotation estimation - long term visual odometry task - novel hybrid cost function - bi-direction framework - hybridization - simple yet effective switching strategy - robustness - direct edge alignment - edge-based direct visual odometry - Direct RGB-D visual odometry","B6135E Image recognition - B7320C Spatial variables measurement - C5260B Computer vision and image processing techniques - C3390C Mobile robots","G01B - G03B17/00 - G03B19/00 - G05D1/00 - G06T - G06T7/40","Practical (PRA); Theoretical or Mathematical (THR)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2021, The Institution of Engineering and Technology","Engineering Village"
"MP3: A Unified Model to Map, Perceive, Predict and Plan","21413695","Casas, S. (1); Sadat, A. (1); Urtasun, R. (1) ","(1) Uber ATG, Pittsburgh, PA, United States ","2021 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","","","IEEE","","","14398-14407","2021","English","","","978-1-6654-4509-2","10.1109/CVPR46437.2021.01417","2021 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","20-25 June 2021","Nashville, TN, USA","","","Conference article (CA)","","High-definition maps (HD maps) are a key component of most modern self-driving systems due to their valuable semantic and geometric information. Unfortunately, building HD maps has proven hard to scale due to their cost as well as the requirements they impose in the localization system that has to work everywhere with centimeter-level accuracy. Being able to drive without an HD map would be very beneficial to scale self-driving solutions as well as to increase the failure tolerance of existing ones (e.g., if localization fails or the map is not up-to-date). Towards this goal, we propose MP3, an end-to-end approach to mapless1 driving where the input is raw sensor data and a high-level command (e.g., turn left at the intersection). MP3 predicts intermediate representations in the form of an online map and the current and future state of dynamic agents, and exploits them in a novel neural motion planner to make interpretable decisions taking into account uncertainty. We show that our approach is significantly safer, more comfortable, and can follow commands better than the baselines in challenging long-term closed-loop simulations, as well as when compared to an expert driver in a large-scale real-world dataset.","55","closed loop systems - collision avoidance - intelligent transportation systems - mobile robots - neural nets - robot vision - SLAM (robots) - traffic engineering computing","MP3 - high-definition maps - HD map - modern self-driving systems - valuable semantic information - geometric information - localization system - centimeter-level accuracy - self-driving solutions - end-to-end approach - high-level command - online map - mapless driving - raw sensor data - dynamic agents - neural motion planner","B6135 Optical, image and video signal processing - C7445 Traffic engineering computing - C6264 - C3120C Spatial variables control - C3390C Mobile robots - C5260B Computer vision and image processing techniques","B60W30/08 - G05D1/00 - G05D3/00 - G06T - G08G - G08G1/09","Practical (PRA); Theoretical or Mathematical (THR)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2022, The Institution of Engineering and Technology","Engineering Village"
