title;year;doi;acm;dim;ieee;inspec;scopus;wos
Simultaneous localization and map-building using active vision;2002;10.1109/TPAMI.2002.1017615;0;0;0;0;1;1
A visual bag of words method for interactive qualitative localization and mapping;2007;10.1109/ROBOT.2007.364080;0;1;1;1;1;1
Experimental analysis of sample-based maps for long-term SLAM;2009;10.1177/0278364908096286;1;1;0;1;1;1
Keypoint design and evaluation for place recognition in 2D lidar maps;2009;10.1016/j.robot.2009.07.009;1;1;0;1;1;1
Lifelong localization of a mobile service-robot in everyday indoor environments using omnidirectional vision;2009;10.1109/TEPRA.2009.5339626;0;1;1;1;1;1
Robust outdoor visual localization using a three-dimensional-edge map;2009;10.1002/rob.20306;1;1;0;1;1;1
Towards a robust visual SLAM approach: Addressing the challenge of life-long operation;2009;nan;0;0;1;1;1;0
Towards lifelong visual maps;2009;10.1109/IROS.2009.5354121;0;0;0;1;1;0
FAB-MAP + RatSLAM: Appearance-based SLAM for multiple times of day;2010;10.1109/ROBOT.2010.5509547;0;1;1;1;1;0
Lifelong Map Learning for Graph-based SLAM in Static Environments;2010;10.1007/s13218-010-0034-2;0;1;0;0;1;0
Visual robot localization using compact binary landmarks;2010;10.1109/ROBOT.2010.5509579;0;1;1;1;1;1
CD SLAM - Continuous localization and mapping in a dynamic world;2011;10.1109/IROS.2011.6048253;0;0;0;1;1;0
Efficient information-theoretic graph pruning for graph-based SLAM with laser range finders;2011;10.1109/IROS.2011.6048060;0;1;1;1;1;0
Long-term experiments with an adaptive spherical view representation for navigation in changing environments;2011;10.1016/j.robot.2011.02.013;1;1;0;1;1;1
Capping Computation Time and Storage Requirements for Appearance-based Localization with CAT-SLAM;2012;10.1109/ICRA.2012.6224622;0;1;0;0;0;1
Dynamic pose graph SLAM: Long-term mapping in low dynamic environments;2012;10.1109/IROS.2012.6385561;0;1;1;1;1;1
Information-theoretic compression of pose graphs for laser-based SLAM;2012;10.1177/0278364912455072;1;1;0;0;1;1
Realizing, reversing, recovering: Incremental robust loop closing over time using the iRRR algorithm;2012;10.1109/IROS.2012.6385879;0;1;1;1;1;1
3D normal distributions transform occupancy maps: An efficient representation for mapping in dynamic environments;2013;10.1177/0278364913499415;0;0;0;1;0;0
A spatio-temporal Long-term Memory approach for visual place recognition in mobile robotic navigation;2013;10.1016/j.robot.2012.12.004;0;0;0;0;1;1
A speeded-up online incremental vision-based loop-closure detection for long-term SLAM;2013;10.1080/01691864.2013.826410;0;1;0;1;1;1
Consistent sparsification for graph optimization;2013;10.1109/ECMR.2013.6698835;0;0;0;1;1;0
Experience-based navigation for long-term localisation;2013;10.1177/0278364913499193;0;0;0;0;1;1
Generic 2D/3D SLAM with NDT maps for lifelong application;2013;10.1109/ECMR.2013.6698849;0;0;1;1;1;0
Hierarchical SLAM using spectral submap matching with opportunities for long-term operation;2013;10.1109/ICAR.2013.6766479;0;0;0;1;1;0
Lifelong localization in changing environments;2013;10.1177/0278364913502830;1;1;0;1;1;1
Localization and navigation of the CoBots over long-term deployments;2013;10.1177/0278364913503892;1;1;0;1;1;1
Long-term mapping and localization using feature stability histograms;2013;10.1016/j.robot.2013.07.003;0;0;0;1;0;0
