type;id;title;author;year;doi;url;venue
conference;ali-et-al:2020:3389033;{Edge-SLAM}: Edge-assisted visual simultaneous localization and mapping;Ali J. Ben Ali and Zakieh Sadat Hashemifar and Karthik Dantu;2020;10.1145/3386901.3389033;;MobiSys 2020 - Proceedings of the 18th International Conference on Mobile Systems, Applications, and Services
journal;davison-murray:2002:1017615;Simultaneous localization and map-building using active vision;Andrew J. Davison and David W. Murray;2002;10.1109/TPAMI.2002.1017615;;IEEE Transactions on Pattern Analysis and Machine Intelligence
conference;glover-et-al:2010:5509547;{FAB-MAP} + {RatSLAM}: Appearance-based {SLAM} for multiple times of day;Arren J. Glover and William P. Maddern and Michael J. Milford and Gordon F. Wyeth;2010;10.1109/ROBOT.2010.5509547;;2010 IEEE International Conference on Robotics and Automation (ICRA)
journal;kawewong-et-al:2013:826410;A speeded-up online incremental vision-based loop-closure detection for long-term {SLAM};Aram Kawewong and Noppharit Tongprasit and Osamu Hasegawa;2013;10.1080/01691864.2013.826410;;Advanced Robotics
journal;schaefer-et-al:2021:103709;Long-term vehicle localization in urban environments based on pole landmarks extracted from 3-{D} lidar scans;Alexander Schaefer and Daniel Büscher and Johan Vertens and Lukas Luft and Wolfram Burgard;2021;10.1016/j.robot.2020.103709;;Robotics and Autonomous Systems
conference;walcott-bryant-et-al:2012:6385561;Dynamic pose graph {SLAM}: Long-term mapping in low dynamic environments;Aisha Walcott-Bryant and Michael Kaess and Hordur Johannsson and John J. Leonard;2012;10.1109/IROS.2012.6385561;;2012 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)
journal;bacca-et-al:2013:003;Long-term mapping and localization using feature stability histograms;Bladimir Bacca and Joaquím Salví and Xavier Cufí;2013;10.1016/j.robot.2013.07.003;;Robotics and Autonomous Systems
journal;bescos-et-al:2018:2860039;Dyna{SLAM}: Tracking, Mapping, and Inpainting in Dynamic Scenes;Berta Bescos and José M. Fácil and Javier Civera and José Neira;2018;10.1109/LRA.2018.2860039;;IEEE Robotics and Automation Letters
conference;liu-et-al:2021:9561126;A Flexible and Efficient Loop Closure Detection Based on Motion Knowledge;Bingxi Liu and Fulin Tang and Yujie Fu and Yanqun Yang and Yihong Wu;2021;10.1109/ICRA48506.2021.9561126;;2021 IEEE International Conference on Robotics and Automation (ICRA)
journal;kim-et-al:2021:3047421;A Geodetic Normal Distribution Map for Long-Term {LiDAR} Localization on Earth;Chansoo Kim and Sungjin Cho and Myoungho Sunwoo and Paulo Resende and Benazouz Bradaï and Kichun Jo;2021;10.1109/ACCESS.2020.3047421;;IEEE Access
journal;qin-et-al:2020:103561;Appearance-invariant place recognition by adversarially learning disentangled representation;Cao Qin and Yunzhou Zhang and Yan Liu and Sonya Coleman and Dermot Kerr and Guanghao Lv;2020;10.1016/j.robot.2020.103561;;Robotics and Autonomous Systems
conference;yu-et-al:2019:8961714;A {D}ense{N}et feature-based loop closure method for visual {SLAM} system;Chao Yu and ZuXin Liu and Xin-Jun Liu and Fei Qiao and Yu Wang and Fugui Xie and Qi Wei and Yi Yang;2019;10.1109/ROBIO49542.2019.8961714;;2019 IEEE International Conference on Robotics and Biomimetics (ROBIO)
journal;ball-et-al:2013:9;{OpenRatSLAM}: An open source brain-based {SLAM} system;David Ball and Scott Heath and Janet Wiles and Gordon F. Wyeth and Peter Corke and Michael J. Milford;2013;10.1007/s10514-012-9317-9;;Autonomous Robots
journal;martini-et-al:2020:s20216002;k{R}adar++: Coarse-to-fine {FMCW} scanning radar localisation;Daniele De Martini and Matthew Gadd and Paul Newman;2020;10.3390/s20216002;;Sensors
conference;filliat:2007:364080;A visual bag of words method for interactive qualitative localization and mapping;David Filliat;2007;10.1109/ROBOT.2007.364080;;2007 IEEE International Conference on Robotics and Automation (ICRA)
conference;opdenbosch-et-al:2018:00114;Efficient Map Compression for Collaborative Visual {SLAM};Dominik Van Opdenbosch and Tamay Aykut and Martin Oelsch and Nicolas Alt and Eckehard Steinbach;2018;10.1109/WACV.2018.00114;;2018 IEEE Winter Conference on Applications of Computer Vision (WACV)
journal;derner-et-al:2021:103676;Change detection using weighted features for image-based localization;Erik Derner and Clara Gomez and Alejandra C. Hernandez and Ramon Barber and Robert Babuška;2021;10.1016/j.robot.2020.103676;;Robotics and Autonomous Systems
conference;einhorn-gross:2013:6698849;Generic 2{D}/3{D} {SLAM} with {NDT} maps for lifelong application;Erik Einhorn and Horst-Michael Gross;2013;10.1109/ECMR.2013.6698849;;2013 European Conference on Mobile Robots (ECMR)
journal;einhorn-gross:2015:008;Generic {NDT} mapping in dynamic environments and its application for lifelong {SLAM};Erik Einhorn and Horst-Michael Gross;2015;10.1016/j.robot.2014.08.008;;Robotics and Autonomous Systems
journal;boniardi-et-al:2019:003;A pose graph-based localization system for long-term navigation in {CAD} floor plans;Federico Boniardi and Tim Caselitz and Rainer Kümmerle and Wolfram Burgard;2019;10.1016/j.robot.2018.11.003;;Robotics and Autonomous Systems
journal;cao-et-al:2021:2962416;Season-Invariant and Viewpoint-Tolerant {LiDAR} Place Recognition in {GPS}-Denied Environments;Fengkui Cao and Fei Yan and Sen Wang and Yan Zhuang and Wei Wang;2021;10.1109/TIE.2019.2962416;;IEEE Transactions on Industrial Electronics
