id	label	description	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Journal impact factor>
1	eur j oper res	<table><tr><td>Journal:</td><td>EUROPEAN JOURNAL OF OPERATIONAL RESEARCH</td></tr><tr><td>ISSN:</td><td>0377-2217</td></tr><tr></tr></table>	0.8602	-0.6316	3	78	493	892	1.096
2	am econ rev	<table><tr><td>Journal:</td><td>AMERICAN ECONOMIC REVIEW</td></tr><tr><td>ISSN:</td><td>0002-8282</td></tr><tr></tr></table>	-0.6906	-0.1531	1	115	602	643	2.239
3	j financ	<table><tr><td>Journal:</td><td>JOURNAL OF FINANCE</td></tr><tr><td>ISSN:</td><td>0022-1082</td></tr><tr></tr></table>	-0.7616	0.3077	5	92	563	518	3.353
4	acad manage j	<table><tr><td>Journal:</td><td>ACADEMY OF MANAGEMENT JOURNAL</td></tr><tr><td>ISSN:</td><td>0001-4273</td></tr><tr></tr></table>	0.6773	0.5419	2	96	552	450	5.017
5	manage sci	<table><tr><td>Journal:</td><td>MANAGEMENT SCIENCE</td></tr><tr><td>ISSN:</td><td>0025-1909</td></tr><tr></tr></table>	0.5552	-0.3202	3	115	440	445	1.931
6	j financ econ	<table><tr><td>Journal:</td><td>JOURNAL OF FINANCIAL ECONOMICS</td></tr><tr><td>ISSN:</td><td>0304-405X</td></tr><tr></tr></table>	-0.6573	0.2799	5	83	461	440	2.988
7	comput oper res	<table><tr><td>Journal:</td><td>COMPUTERS & OPERATIONS RESEARCH</td></tr><tr><td>ISSN:</td><td>0305-0548</td></tr><tr></tr></table>	0.9035	-0.7444	3	36	254	439	1.147
8	ecol econ	<table><tr><td>Journal:</td><td>ECOLOGICAL ECONOMICS</td></tr><tr><td>ISSN:</td><td>0921-8009</td></tr><tr></tr></table>	-0.1947	-0.2346	1	54	116	422	1.549
9	j polit econ	<table><tr><td>Journal:</td><td>JOURNAL OF POLITICAL ECONOMY</td></tr><tr><td>ISSN:</td><td>0022-3808</td></tr><tr></tr></table>	-0.7921	-0.3348	1	83	395	415	4.19
10	health econ	<table><tr><td>Journal:</td><td>HEALTH ECONOMICS</td></tr><tr><td>ISSN:</td><td>1057-9230</td></tr><tr></tr></table>	-0.3629	-0.2894	1	34	67	348	1.648
11	j bus res	<table><tr><td>Journal:</td><td>JOURNAL OF BUSINESS RESEARCH</td></tr><tr><td>ISSN:</td><td>0148-2963</td></tr><tr></tr></table>	0.7323	0.1663	4	90	327	329	0.878
12	j econometrics	<table><tr><td>Journal:</td><td>JOURNAL OF ECONOMETRICS</td></tr><tr><td>ISSN:</td><td>0304-4076</td></tr><tr></tr></table>	-0.7123	-0.2889	1	60	172	318	1.99
13	j public econ	<table><tr><td>Journal:</td><td>JOURNAL OF PUBLIC ECONOMICS</td></tr><tr><td>ISSN:</td><td>0047-2727</td></tr><tr></tr></table>	-0.5807	-0.2332	1	72	241	316	1.403
14	acad manage rev	<table><tr><td>Journal:</td><td>ACADEMY OF MANAGEMENT REVIEW</td></tr><tr><td>ISSN:</td><td>0363-7425</td></tr><tr></tr></table>	0.6694	0.6214	2	82	367	314	4.372
15	strategic manage j	<table><tr><td>Journal:</td><td>STRATEGIC MANAGEMENT JOURNAL</td></tr><tr><td>ISSN:</td><td>0143-2095</td></tr><tr></tr></table>	0.5721	0.4007	2	90	421	307	2.829
16	econometrica	<table><tr><td>Journal:</td><td>ECONOMETRICA</td></tr><tr><td>ISSN:</td><td>0012-9682</td></tr><tr></tr></table>	-0.6915	-0.2828	1	49	170	300	2.972
17	world dev	<table><tr><td>Journal:</td><td>WORLD DEVELOPMENT</td></tr><tr><td>ISSN:</td><td>0305-750X</td></tr><tr></tr></table>	-0.2868	-0.056	1	38	86	295	1.565
18	int j prod res	<table><tr><td>Journal:</td><td>INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH</td></tr><tr><td>ISSN:</td><td>0020-7543</td></tr><tr></tr></table>	1.1282	-0.4138	3	42	186	291	0.56
19	q j econ	<table><tr><td>Journal:</td><td>QUARTERLY JOURNAL OF ECONOMICS</td></tr><tr><td>ISSN:</td><td>0033-5533</td></tr><tr></tr></table>	-0.8	-0.0866	1	83	314	284	3.688
20	j marketing	<table><tr><td>Journal:</td><td>JOURNAL OF MARKETING</td></tr><tr><td>ISSN:</td><td>0022-2429</td></tr><tr></tr></table>	0.8442	0.1352	4	74	358	283	3.75
21	int j prod econ	<table><tr><td>Journal:</td><td>INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS</td></tr><tr><td>ISSN:</td><td>0925-5273</td></tr><tr></tr></table>	1.0751	-0.3917	3	50	212	274	0.995
22	expert syst appl	<table><tr><td>Journal:</td><td>EXPERT SYSTEMS WITH APPLICATIONS</td></tr><tr><td>ISSN:</td><td>0957-4174</td></tr><tr></tr></table>	1.0338	-0.4754	3	29	95	269	1.177
23	organ sci	<table><tr><td>Journal:</td><td>ORGANIZATION SCIENCE</td></tr><tr><td>ISSN:</td><td>1047-7039</td></tr><tr></tr></table>	0.6966	0.5407	2	77	373	269	3.13
24	res policy	<table><tr><td>Journal:</td><td>RESEARCH POLICY</td></tr><tr><td>ISSN:</td><td>0048-7333</td></tr><tr></tr></table>	0.1157	0.2227	2	77	217	257	2.211
