label	replace by
simultaneous localization and mapping	slam
simultaneous localization and mapping (slam)	slam
simultaneous localisation and mapping (slam)	slam
slam (robots)	slam
slam (robot)	slam
slam approach	slam
mobile robots	robot
mobile robot	robot
mobile robotics	robot
mobile robotic	robot
service robotics	robot
industrial robots	robot
industrial robot	robot
industrial robotics	robot
industrial robotic	robot
autonomous mobile robots	robot
autonomous mobile robot	robot
intelligent robots	robot
agricultural robots	robot
robotics	robot
robot applications	robot
robots	robot
vehicles	vehicle
autonomous vehicles	vehicle
autonomous vehicle	vehicle
robot vision	vision
computer vision	vision
cameras	camera
navigation systems	navigation
autonomous navigation	navigation
visual-based navigation	visual nav
visual navigation	visual nav
localisation	localization
localisation systems	localization
localization system	localization
localization performance	localization
robot localization	localization
robot localisation	localization
mobile robot localization	localization
mobile robot localisation	localization
mapping systems	mapping
mapping system	mapping
maps	mapping
map	mapping
localization and mappings	slam
localization and mapping	slam
localisation and mappings	slam
localisation and mapping	slam
real world environments	real world
real world environment	real world
real world experiment	real world
dynamic environments	dynamic env
dynamic environment	dynamic env
indoor environment	indoor
indoors	indoor
indoor environments	indoor
indoor positioning system	indoor
indoor positioning systems	indoor
outdoor environments	outdoor
outdoor environment	outdoor
outdoors	outdoor
outdoor environments	outdoor
information theory	info theory
real time performance	real-time
real time	real-time
graph-based	graph
graph slam	graph
changing environment	env change
changing environments	env change
change detection	env change
normal distribution	normal dist
environmental change	env change
neural networks	nn
neural network	nn
convolutional neural networks	cnn
convolutional neural network	cnn
place recognition	place recog
visual simultaneous localization and mappings	vslam
visual simultaneous localization and mapping	vslam
visual simultaneous localisation and mappings	vslam
visual simultaneous localisation and mapping	vslam
visual slam	vslam
vision slam	vslam
intelligent systems	intell syst
inteliggent vehicle highway systems	intell syst
re-localization	global localiz
re-localisation	global localiz
relocalization	global localiz
relocalisation	global localiz
global localization	global localiz
global localisation	global localiz
optical radar	radar
feature extraction	feature
features extraction	feature
semantics	semantic
long term	long-term
long-term mapping and localization	long-term
long term mapping and localization	long-term
long-term durability	long-term
long term durability	long-term
long-term stability	long-term
long term stability	long-term
long-term experiments	long-term
long-term experiment	long-term
long term experiments	long-term
long term experiment	long-term
long-term performance	long-term
long term performance	long-term
long-term memory	long-term
long term memory	long-term
long-term dynamics	long-term
long term dynamics	long-term
long-term explorations	long-term
long-term exploration	long-term
long term explorations	long-term
long term exploration	long-term
long-term autonomy	long-term
long term autonomy	long-term
long-term robust localization	long-term
long-term localization	long-term
long-term robust localisation	long-term
long-term localisation	long-term
long-term navigation	long-term
long-term mapping	long-term
long-term map	long-term
long term robust localization	long-term
long term localization	long-term
long term robust localisation	long-term
long term localisation	long-term
long term navigation	long-term
long term mapping	long-term
long term map	long-term
long-term place recognition	long-term
long term place recognition	long-term
long-term spatial memory	long-term
long term spatial memory	long-term
long-term maintenances	long-term
long-term maintenance	long-term
long term maintenances	long-term
long term maintenance	long-term
long-term perspective	long-term
long term perspective	long-term
long-term visual place recognition	long-term
long term visual place recognition	long-term
long-term evaluation	long-term
long term evaluation	long-term
long-term visual navigation	long-term
long term visual navigation	long-term
long-term slam	long-term
long term slam	long-term
long-term operation	long-term
long term operation	long-term
long-term mobile robot autonomy	long-term
long-term consistency	long-term
long term mobile robot autonomy	long-term
long term consistency	long-term
long-term observations	long-term
long-term observation	long-term
long term observations	long-term
long term observation	long-term
life long learning	lifelong
life-long navigation	lifelong
life-long learning	lifelong
lifelong slam	lifelong
lifelong learning	lifelong
lifelong mapping	lifelong
graph-based	graph
graphic methods	graph
graphic method	graph
graph representation	graph
optimisation	optimization
deep learning in robotics and automation	deep learning
learning systems	learning
learning system	learning
machine learning	ml
learning (artificial intelligence)	learning
loop closure detection	loop closure
marginalisation	marginalization
visual localization	visual localiz
visual localisation	visual localiz
vision localization	visual localiz
vision localisation	visual localiz
visual-based localization	visual localiz
visual-based localisation	visual localiz
vision-based localization	visual localiz
vision-based localisation	visual localiz
appearance-based	appearance
